Rating,MRP,Brand,Operating_System,RAM,Display_inchs,RAM_Type,Processor,Disc Size,Disc Type
4.2,36990,Lenovo,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.2,39990,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,32990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,49990,HP,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.4,49990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.2,36990,HP,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.3,38990,DELL,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.1,39990,RedmiBook,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,46990,realme,Windows 10,8 GB,14,DDR4,Intel,256GB,SSD
4.1,44990,ASUS,Windows 11,16 GB,14,DDR4,AMD,512GB,SSD
4.4,59990,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.2,38705,Lenovo,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,32990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.4,52990,ASUS,Windows 11,8 GB,17.3,DDR4,AMD,512GB,SSD
4.3,29990,acer,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.3,196990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.3,47990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,45990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,47990,MSI,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.6,85990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,1TB,SSD
4.7,88990,APPLE,Mac,8 GB,13.3,DDR4,Apple,256GB,SSD
4.2,40990,HP,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
3.7,19490,Lenovo,Mac,4 GB,15.6,LPDDR4,Intel,256GB,HDD
4.2,35590,Lenovo,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,65990,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,58990,acer,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.2,24990,acer,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
4.4,47990,acer,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.4,73990,ASUS,Windows 11,8 GB,17.3,DDR4,AMD,512GB,SSD
4.2,53490,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.9,150990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,1TB,SSD
4.3,51990,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.7,66990,ASUS,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.3,194990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.4,51990,acer,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
3.9,25990,HP,Windows 11,8 GB,14,DDR4,AMD,256GB,SSD
4.2,35990,acer,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.2,43990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,44990,Lenovo,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
3.7,64490,Lenovo,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.4,40990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.4,38990,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.2,58990,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,59990,realme,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.4,47990,acer,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.2,37499,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.1,94990,ASUS,Windows 10,8 GB,14,DDR4,AMD,1TB,SSD
4.0,23990,ASUS,Windows 11,4 GB,14,DDR4,Intel,256GB,SSD
4.3,48990,HP,Windows 11,16 GB,14,DDR4,AMD,512GB,SSD
4.7,139990,APPLE,Mac,8 GB,13.3,Unified,Apple,512GB,SSD
4.6,89990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.5,59990,ASUS,Windows 11,8 GB,15.6,DDR4,AMD,1TB,SSD
4.6,70990,DELL,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.2,22990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,256GB,SSD
4.3,46990,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,50990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.2,28990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,256GB,SSD
4.3,84990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.8,181990,APPLE,Mac,16 GB,14.2,Unified,Apple,512GB,SSD
4.6,109990,MSI,Windows 11,16 GB,15.6,DDR4,AMD,1TB,SSD
4.4,32990,SAMSUNG,Windows 11,4 GB,14,LPDDR4X,Qualcomm,128GB,SSD
4.1,37990,Infinix,Windows 11,16 GB,14,LPDDR4X,Intel,512GB,SSD
5.0,139990,APPLE,Mac,8 GB,13.6,Unified,Apple,512GB,SSD
4.4,29990,Lenovo,Windows 11,4 GB,15.6,DDR4,Intel,256GB,SSD
4.3,19490,Lenovo,Chrome,4 GB,14,DDR4,Intel,64GB,SSD
4.5,73490,Lenovo,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.4,52990,ASUS,Windows 11,8 GB,15.6,DDR4,AMD,1TB,HDD
4.2,41890,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.2,30428,DELL,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.1,34990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,65990,MSI,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.1,33490,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.1,60990,HP,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.3,59990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.2,114990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.3,119990,ASUS,Windows 10,16 GB,16,DDR4,Intel,1TB,SSD
4.3,42990,Infinix,Windows 11,8 GB,15.6,LPDDR4X,Intel,512GB,SSD
4.6,89990,ASUS,Windows 11,16 GB,15.6,LPDDR5,Intel,512GB,SSD
4.5,79990,MSI,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.8,70990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,1TB,SSD
4.3,33900,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.8,52990,Infinix,Windows 11,16 GB,15.6,LPDDR4X,Intel,512GB,SSD
4.7,124990,APPLE,Mac,16 GB,13.3,DDR4,Apple,512GB,SSD
4.2,31990,RedmiBook,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.3,66990,acer,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
5.0,89081,DELL,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.7,104990,APPLE,Mac,8 GB,13.3,DDR4,Apple,512GB,SSD
4.5,45990,ASUS,Windows 11,8 GB,14,LPDDR4X,Intel,256GB,SSD
4.5,45990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,51990,MSI,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,75990,HP,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.2,36990,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
3.7,78800,HP,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.2,29390,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,30990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,256GB,SSD
4.1,62490,Lenovo,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
3.8,89990,ASUS,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.1,58899,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.5,85990,MSI,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
3.8,33099,DELL,Windows 11,8 GB,15.6,DDR4,AMD,1TB,HDD
4.3,63490,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.2,38990,ASUS,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
4.3,67990,HP,Windows 11,8 GB,16.1,DDR4,Intel,512GB,SSD
4.2,39790,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.8,241990,APPLE,Mac,16 GB,16.2,Unified,Apple,1TB,SSD
4.6,104990,APPLE,Mac,8 GB,13.3,DDR4,Apple,512GB,SSD
4.1,42190,DELL,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
4.2,39990,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.5,99990,ASUS,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.3,309490,APPLE,Mac,32 GB,16.2,Unified,Apple,1TB,SSD
4.4,64990,ASUS,Windows 11,16 GB,15.6,DDR4,Intel,1TB,HDD
4.5,85990,ASUS,Windows 10,16 GB,17.3,DDR4,AMD,512GB,SSD
4.8,222990,APPLE,Mac,16 GB,14.2,Unified,Apple,1TB,SSD
4.3,15990,Ultimus,Mac,4 GB,14.1,LPDDR4,Intel,128GB,SSD
4.3,45900,DELL,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,79990,ASUS,Windows 11,16 GB,13.3,LPDDR4X,Intel,512GB,SSD
4.4,56990,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.2,34990,DELL,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
3.4,43580,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
5.0,74990,Lenovo,Windows 10,16 GB,13.3,DDR4,AMD,512GB,SSD
4.3,37490,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.2,20990,Infinix,Windows 11,4 GB,14,LPDDR4X,Intel,128GB,SSD
4.6,109990,MSI,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.7,71990,ASUS,Windows 11,16 GB,13.3,LPDDR4,Intel,512GB,SSD
4.3,32990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,512GB,SSD
4.5,43990,MSI,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
3.9,25990,acer,Windows 11,8 GB,14,DDR4,AMD,256GB,SSD
4.4,122990,ASUS,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.3,68990,acer,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,59990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,39990,acer,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,37990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.0,25950,Lenovo,Windows 10,4 GB,14,DDR4,Intel,256GB,SSD
4.2,64999,realme,Windows 11,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.4,60990,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,36990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.6,59990,SAMSUNG,Windows 11,8 GB,15.6,LPDDR4X,Intel,256GB,SSD
4.8,222990,APPLE,Mac,16 GB,16.2,Unified,Apple,512GB,SSD
4.3,235283,DELL,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.0,38990,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.5,67990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.5,79990,MSI,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,89990,ASUS,Windows 11,16 GB,15.6,LPDDR5,Intel,512GB,SSD
4.7,241990,ASUS,Windows 11,32 GB,16,DDR5,Intel,1TB,SSD
4.3,43490,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.0,40990,Vaio,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.7,94990,APPLE,Mac,8 GB,13.3,DDR4,Apple,256GB,SSD
4.5,114990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.6,121990,APPLE,Mac,8 GB,13.3,Unified,Apple,256GB,SSD
4.1,27990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.2,40190,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.1,34990,Lenovo,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.7,94990,ASUS,Windows 10,16 GB,14,LPDDR4X,Intel,1TB,SSD
4.4,69990,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,59990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
5.0,66990,ASUS,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.3,104990,ASUS,Windows 11,16 GB,13.3,LPDDR4X,Intel,512GB,SSD
4.3,54900,DELL,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.7,136990,Lenovo,Windows 11,16 GB,16,DDR4,AMD,1TB,SSD
4.3,48184,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.5,74990,ASUS,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.8,60990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.2,49990,HP,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
4.4,67990,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,58000,Lenovo,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.3,29990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,256GB,SSD
4.3,114990,ASUS,Windows 11,16 GB,13.4,LPDDR5,AMD,1TB,SSD
4.3,33990,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.4,64990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.3,79990,Lenovo,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.5,56990,ASUS,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.7,81990,HP,Windows 11,16 GB,13.3,DDR4,AMD,512GB,SSD
4.5,129990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.0,38990,DELL,Windows 10,8 GB,15.6,DDR4,AMD,1TB,HDD
4.5,79990,HP,Windows 10,16 GB,15.6,DDR4,AMD,1TB,HDD
4.7,139990,APPLE,Mac,8 GB,13.6,Unified,Apple,512GB,SSD
4.1,109990,ASUS,Windows 11,16 GB,17.3,DDR5,Intel,1TB,SSD
4.3,154990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.2,62990,Lenovo,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,47990,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.6,43667,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.5,135990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.4,98990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,512GB,SSD
4.2,46990,Infinix,Windows 11,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.3,35990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.3,109990,ASUS,Windows 11,16 GB,17.3,DDR5,Intel,1TB,SSD
4.3,139990,APPLE,Mac,8 GB,13.6,Unified,Apple,512GB,SSD
4.3,74770,DELL,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.3,40799,HP,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
4.5,69490,ASUS,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.8,99990,ASUS,Windows 11,16 GB,13.3,LPDDR5,AMD,512GB,SSD
3.9,40990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,60390,HP,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,69990,HP,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.0,44990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.7,44990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.3,55990,HP,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.3,74990,Lenovo,Windows 11,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.5,59990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,1TB,SSD
4.3,62990,acer,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.5,58499,MSI,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,65990,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.0,111990,DELL,Windows 11,16 GB,15.6,DDR5,Intel,512GB,SSD
4.3,68490,Lenovo,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,83990,ASUS,Windows 10,8 GB,14,DDR4,Intel,1TB,HDD
