Rating,MRP,Brand,Operating_System,RAM,Display_inchs,RAM_Type,Processor,Disc Size,Disc Type
4.3,54990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.0,14990,ASUS,Chrome,4 GB,11.6,LPDDR4,Intel,32GB,SSD
4.7,149990,APPLE,Mac,8 GB,13.3,DDR4,Apple,1TB,SSD
3.9,63090,DELL,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,200000,MSI,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.3,37390,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.5,63990,ASUS,Windows 11,8 GB,14,LPDDR4X,Intel,512GB,SSD
4.1,43090,DELL,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.1,44700,Lenovo,Windows 10,4 GB,15.6,DDR4,Intel,256GB,SSD
4.4,41150,HP,Windows 10,8 GB,14,DDR4,Intel,256GB,SSD
4.3,33990,ASUS,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
4.3,190890,MSI,Windows 11,16 GB,17.3,DDR5,Intel,1TB,SSD
4.3,174990,ASUS,Windows 11,16 GB,13.4,LPDDR5,Intel,1TB,SSD
3.5,118990,HP,Windows 11,16 GB,16.1,DDR4,AMD,1TB,SSD
4.5,63980,ASUS,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,54300,acer,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.2,36400,DELL,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
4.3,28590,ASUS,Windows 10,4 GB,15.6,DDR4,Intel,256GB,SSD
4.3,69999,DELL,Windows 11,16 GB,16,DDR4,AMD,512GB,SSD
5.0,301990,ASUS,Windows 11,32 GB,15.6,DDR5,Intel,1TB,SSD
4.3,37000,Lenovo,Windows 11,8 GB,15,DDR4,Intel,256GB,SSD
4.2,64990,Lenovo,Windows 10,16 GB,13,DDR4,Intel,512GB,SSD
4.3,42690,DELL,Windows 11,8 GB,14.96,DDR4,Intel,256GB,SSD
5.0,140990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.3,38990,Lenovo,Windows 10,4 GB,15,DDR4,Intel,256GB,SSD
4.3,128990,HP,Windows 11,16 GB,13.5,LPDDR4X,Intel,512GB,SSD
4.3,54999,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.1,60130,acer,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,29490,acer,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.1,72490,DELL,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.3,73990,GIGABYTE,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.0,47130,acer,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.4,55600,Lenovo,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.4,49690,DELL,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.3,239990,ASUS,Windows 11,32 GB,16,DDR5,Intel,1TB,SSD
4.5,73990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,52490,HP,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.3,41990,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,29990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.4,50490,Nokia,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.4,96490,acer,Windows 10,16 GB,15.6,DDR4,Intel,1TB,HDD
4.5,74990,MSI,Windows 10,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.2,51990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,71345,ASUS,Windows 10,8 GB,15.6,DDR4,AMD,1TB,HDD
4.5,101490,ASUS,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.3,274990,MSI,Windows 11,32 GB,15.6,DDR5,Intel,1TB,SSD
4.3,199990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
3.9,41090,DELL,Windows 10,8 GB,14,DDR4,Intel,256GB,SSD
4.3,50499,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,256GB,SSD
4.3,78950,HP,Windows 11,8 GB,16.1,DDR4,AMD,512GB,SSD
4.3,67990,Lenovo,Windows 11,16 GB,14,LPDDR4X,AMD,512GB,SSD
4.0,187990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,1TB,SSD
4.2,102990,Lenovo,Windows 10,16 GB,14,DDR4,Intel,1TB,SSD
4.3,35990,ASUS,DOS,4 GB,15.6,DDR4,Intel,256GB,SSD
4.4,52575,HP,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,50990,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,60125,Lenovo,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
3.9,26490,Lenovo,Windows 10,4 GB,11.6,DDR4,Intel,256GB,SSD
4.3,80249,HP,Windows 11,8 GB,16.1,DDR4,AMD,512GB,SSD
4.5,129999,acer,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,76990,ASUS,Windows 10,8 GB,14,DDR4,AMD,1TB,SSD
4.2,36990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.6,107790,MSI,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.2,75990,DELL,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.5,95990,ASUS,Windows 10,16 GB,14,LPDDR4X,Intel,512GB,SSD
3.7,61999,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,28990,HP,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.3,54990,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,56990,ASUS,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
5.0,45990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.3,38216,ASUS,Windows 11,8 GB,14.1,DDR4,Intel,512GB,SSD
4.1,79990,MSI,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.6,43990,DELL,Windows 10,4 GB,15.6,DDR4,Intel,1TB,HDD
4.3,108250,HP,Windows 11,16 GB,16.1,DDR4,AMD,1TB,SSD
3.7,28990,ASUS,Windows 10,4 GB,15.6,DDR4,Intel,1TB,HDD
4.3,389990,MSI,Windows 11,32 GB,17.3,DDR5,Intel,2TB,SSD
3.7,67224,DELL,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,114990,acer,Windows 10,16 GB,15.6,DDR4,AMD,1TB,HDD
4.3,61249,ASUS,Windows 10,4 GB,14,DDR4,Intel,1TB,HDD
4.2,69990,HP,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.5,69990,Lenovo,DOS,8 GB,14,DDR4,AMD,512GB,SSD
4.4,37990,Lenovo,Windows 10,8 GB,15.6,DDR4,AMD,256GB,SSD
4.2,36990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,512GB,SSD
4.2,29980,ASUS,Windows 11,4 GB,11.6,DDR4,Intel,128GB,SSD
4.2,41600,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,61986,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,38999,HP,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
4.3,31990,Lenovo,Windows 11,4 GB,14,DDR4,Intel,256GB,SSD
4.1,46990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.1,37990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,512GB,SSD
4.5,61490,acer,Windows 10,8 GB,15.6,DDR4,AMD,1TB,HDD
4.6,109990,HP,Windows 10,16 GB,15.6,DDR4,AMD,1TB,SSD
4.2,54990,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,50990,Lenovo,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.2,62190,MSI,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.0,24390,ASUS,Chrome,4 GB,15.6,LPDDR4,Intel,64GB,SSD
3.9,36990,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.6,159990,HP,Windows 10,16 GB,15.6,DDR4,AMD,1TB,SSD
4.0,34490,ASUS,Windows 11,4 GB,14,DDR4,Intel,256GB,SSD
4.4,99990,ASUS,Windows 11,16 GB,16.6,DDR4,AMD,512GB,SSD
4.4,79990,ASUS,Windows 11,8 GB,13.3,LPDDR4X,Intel,512GB,SSD
4.1,41490,HP,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,206581,DELL,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.3,59990,ASUS,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,62990,acer,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,62990,ASUS,Windows 10,8 GB,15.6,DDR4,AMD,1TB,HDD
4.5,61990,Lenovo,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,105990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
5.0,155490,acer,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.3,19990,Ultimus,Windows 11,4 GB,14.1,LPDDR4,Intel,128GB,SSD
3.9,33499,Lenovo,Windows 10,4 GB,15.6,DDR4,Intel,1TB,HDD
3.9,63990,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,124990,acer,Windows 11,16 GB,15.6,DDR4,Intel,1TB,SSD
4.5,21990,ASUS,Windows 11,4 GB,11.6,DDR4,Intel,64GB,SSD
5.0,30100,Lenovo,Windows 10,4 GB,14,DDR4,Intel,256GB,SSD
4.3,199990,HP,Windows 11,32 GB,17.3,DDR5,Intel,1TB,SSD
4.5,61130,acer,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,40990,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.4,75990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,1TB,SSD
4.3,46890,HP,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.0,19990,ASUS,Windows 11,4 GB,11.6,DDR4,Intel,64GB,SSD
4.0,59790,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.1,125990,MSI,Windows 11,16 GB,15.6,DDR4,Intel,1TB,SSD
4.3,249990,ASUS,Windows 11,32 GB,16,DDR5,AMD,2TB,SSD
4.0,149990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.8,36990,DELL,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.3,85990,ASUS,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.2,60990,HP,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.4,87900,DELL,Windows 11,8 GB,15.6,DDR5,Intel,512GB,SSD
4.0,27490,Lenovo,Windows 10,4 GB,15.6,DDR4,AMD,1TB,HDD
3.7,28999,HP,Windows 11,8 GB,14,DDR4,AMD,1TB,HDD
4.5,117990,acer,Windows 10,16 GB,15.6,DDR4,Intel,1TB,HDD
4.3,61497,DELL,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,70400,HP,Windows 11,8 GB,16.1,DDR4,AMD,512GB,SSD
4.0,69000,Lenovo,Windows 10,16 GB,14,DDR4,Intel,512GB,SSD
4.3,149990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.3,96579,HP,Windows 11,8 GB,16.1,DDR5,AMD,512GB,SSD
4.2,101990,DELL,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,94990,HP,Windows 11,8 GB,16.1,DDR5,AMD,512GB,SSD
4.3,314990,MSI,Windows 11,32 GB,17.3,DDR5,Intel,2TB,SSD
4.3,46900,DELL,Windows 11,8 GB,15,DDR4,Intel,1TB,HDD
4.3,331990,ASUS,Windows 11,32 GB,16,DDR5,Intel,2TB,SSD
4.6,116490,DELL,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.3,64590,HP,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
3.9,137990,DELL,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.1,55690,DELL,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.2,109990,Lenovo,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,79990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,130500,ASUS,Windows 11,16 GB,16,DDR4,AMD,1TB,SSD
4.3,361990,ASUS,Windows 11,32 GB,16,DDR5,AMD,2TB,SSD
4.3,211990,ASUS,Windows 11,16 GB,16,DDR5,AMD,1TB,SSD
4.4,39890,DELL,Windows 10,4 GB,15,DDR4,Intel,256GB,SSD
3.7,139990,MSI,Windows 11,16 GB,15.6,DDR4,Intel,1TB,SSD
4.5,99990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,1TB,HDD
4.5,66700,HP,Windows 10,16 GB,14,DDR4,Intel,512GB,SSD
4.3,68990,DELL,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,434830,DELL,Windows 11,32 GB,17.3,DDR4,Intel,1TB,SSD
4.6,345390,ALIENWARE,Windows 10,32 GB,15.6,DDR4,Intel,1TB,SSD
4.3,105822,HP,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
3.6,28490,Lenovo,Chrome,4 GB,11.6,LPDDR4X,Intel,128GB,SSD
4.2,66990,Lenovo,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
3.5,86999,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,36990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,256GB,SSD
3.7,23250,Lenovo,Windows 11,4 GB,11.6,DDR4,Intel,256GB,SSD
4.3,42390,DELL,Windows 10,8 GB,14,DDR4,Intel,256GB,SSD
4.2,58990,Lenovo,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.8,110990,ASUS,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.6,74590,acer,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.7,71990,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,84990,Lenovo,Windows 10,16 GB,14,DDR4,Intel,512GB,SSD
4.3,119990,ASUS,Windows 11,16 GB,13.3,LPDDR5,AMD,1TB,SSD
4.3,214990,MSI,Windows 10,32 GB,15.6,DDR4,Intel,1TB,SSD
4.2,48790,MSI,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.3,76000,DELL,Windows 11,16 GB,16,DDR4,AMD,512GB,SSD
5.0,224990,ASUS,Windows 10,32 GB,13.4,LPDDR4X,AMD,1TB,SSD
4.1,49990,Infinix,Windows 11,8 GB,15.6,LPDDR4X,Intel,512GB,SSD
4.3,164990,ASUS,Windows 11,16 GB,13.4,LPDDR5,Intel,512GB,SSD
3.9,31490,HP,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
4.3,48077,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.6,154990,ASUS,Windows 10,16 GB,15.6,DDR4,AMD,1TB,SSD
4.6,224990,ASUS,Windows 10,32 GB,15.6,DDR4,Intel,1TB,SSD
3.9,44990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.4,65990,ASUS,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
3.9,31990,ASUS,Windows 10,8 GB,14.1,DDR4,Intel,1TB,HDD
5.0,38980,Lenovo,Windows 10,8 GB,14,DDR4,Intel,256GB,SSD
4.4,68990,HP,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,43090,DELL,Windows 10,8 GB,15.6,DDR4,Intel,256GB,SSD
4.3,49348,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,221774,DELL,Windows 11,16 GB,15.6,DDR5,Intel,512GB,SSD
4.0,73990,Lenovo,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,77990,DELL,Windows 11,16 GB,16,DDR4,AMD,512GB,SSD
4.1,214790,ALIENWARE,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.9,199990,ALIENWARE,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,52414,DELL,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
5.0,179990,ASUS,Windows 11,16 GB,16,DDR5,Intel,1TB,SSD
4.1,25990,ASUS,Chrome,4 GB,14,LPDDR4,Intel,64GB,SSD
4.3,80615,DELL,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.3,155990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
3.6,49990,Infinix,Windows 11,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.6,157990,Lenovo,Windows 11,16 GB,16,DDR4,Intel,1TB,SSD
4.3,92990,ASUS,Windows 11,16 GB,15.6,DDR5,Intel,512GB,SSD
4.3,171990,ASUS,Windows 11,16 GB,16,DDR5,AMD,1TB,SSD
4.3,151990,ASUS,Windows 11,16 GB,13.4,LPDDR5,AMD,1TB,SSD
4.3,233990,ASUS,Windows 10,16 GB,14,LPDDR3,Intel,2TB,SSD
4.3,76590,DELL,Windows 11,16 GB,13.3,DDR5,Intel,512GB,SSD
4.6,90000,HP,Windows 10,16 GB,15.6,DDR4,AMD,512GB,SSD
4.0,23490,ASUS,Chrome,4 GB,11.6,LPDDR4,Intel,64GB,SSD
3.0,125990,ASUS,Windows 11,16 GB,14,LPDDR5,Intel,512GB,SSD
4.2,50990,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
